issue_rank,issue_label,total_count,article_rank,title,press,pub_date,link
4,"캄보디아 한국인 스캠 조직원 73명 강제송환…""역대 최대 규모""",26,5,"李대통령 ""민간인 '무인기 北침투' 있을 수 없는 일…철저 수사""",연합뉴스,2026-01-20 10:49,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015856208&rankingType=RANKING
4,"캄보디아 한국인 스캠 조직원 73명 강제송환…""역대 최대 규모""",26,6,[단독]李대통령 中 향한 날…北 23차례 항공기 GPS 교란했다,동아일보,2026-01-16 17:41,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690040&rankingType=RANKING
4,"캄보디아 한국인 스캠 조직원 73명 강제송환…""역대 최대 규모""",26,7,‘무인기 침투’에 대북전단 살포 활동가들도 갸웃···“동력장치 사용? 그건 전쟁행위”,경향신문,2026-01-21 6:00,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422822&rankingType=RANKING
4,"캄보디아 한국인 스캠 조직원 73명 강제송환…""역대 최대 규모""",26,8,“1.8km기어와 50m앞에서 기습…그들은 ‘터미네이터’같았다”[러시아·우크라이나 전쟁 북한군 파병1년],경향신문,2026-01-20 6:00,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422557&rankingType=RANKING
4,"캄보디아 한국인 스캠 조직원 73명 강제송환…""역대 최대 규모""",26,9,"“북한 무인기 내가 날렸다” 주장 대학원생, 윤 정부 대통령실 근무했었다",경향신문,2026-01-16 19:45,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422068&rankingType=RANKING
4,"캄보디아 한국인 스캠 조직원 73명 강제송환…""역대 최대 규모""",26,10,"“파병 북한군, 돌아가면 100만 대군 훈련시키는 ‘교관자원’될 것”[러시아·우크라이나 전쟁 북한군 파병1년]",경향신문,2026-01-20 6:00,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422564&rankingType=RANKING
5,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",25,1,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",한겨레,2026-01-21 12:08,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002787539&rankingType=RANKING
5,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",25,2,"이 대통령 “이혜훈, 어렵게 모셨는데 인사청문회는 필요하지 않겠나”",한겨레,2026-01-20 10:36,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002787302&rankingType=RANKING
5,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",25,3,국힘 “이혜훈 청문회 19일 못 열어…검증 아닌 수사 대상”,한겨레,2026-01-16 18:14,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002786908&rankingType=RANKING
5,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",25,4,이혜훈 청문회 시작과 함께 파행 가능성…野 보이콧-與 강행부담,동아일보,2026-01-18 20:45,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690226&rankingType=RANKING
5,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",25,5,"여야, 이혜훈 청문회 막판까지 기싸움 전망…반쪽 청문회 가능성",연합뉴스,2026-01-19 5:00,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015853606&rankingType=RANKING
5,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",25,6,"이혜훈 청문회' 후보없이 공방만…여야, 청문회 개최 놓고 대치",연합뉴스,2026-01-19 12:11,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015854425&rankingType=RANKING
5,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",25,7,野 “요구 자료 중 15%만 제출” 이혜훈 청문회 파행 끝 정회,조선일보,2026-01-19 11:43,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953854&rankingType=RANKING
5,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",25,8,권력의지 남다른 이혜훈... ‘시댁 家業’ 정치 물려받아,조선일보,2026-01-19 0:51,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953798&rankingType=RANKING
5,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",25,9,"청와대 “이혜훈, 야당서 5번이나 공천받아…청문회서 국민 판단 구해야”",경향신문,2026-01-16 14:12,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422017&rankingType=RANKING
5,"이 대통령 “이혜훈, 문제 있긴 해…청문 기회는 줘야”",25,10,단식 5일째 장동혁 “점차 한계 오고 있다”,한겨레,2026-01-19 9:48,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002787105&rankingType=RANKING
6,"李대통령 기자회견에 국힘 “‘어쩌라고요’식 남탓만, 국정 참사”",22,1,이 대통령 “대통령은 민주당 아니라 전 국민 대표…빨간색 섭섭하지 않게 역할”,경향신문,2026-01-16 17:23,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422057&rankingType=RANKING
6,"李대통령 기자회견에 국힘 “‘어쩌라고요’식 남탓만, 국정 참사”",22,2,"李대통령 ""국민통합 정말 중요…나는 민주당 아닌 전국민 대표""",연합뉴스,2026-01-16 15:22,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015851691&rankingType=RANKING
6,"李대통령 기자회견에 국힘 “‘어쩌라고요’식 남탓만, 국정 참사”",22,3,"이 대통령, 웃으며 “혹시 반명입니까?”…정청래 “친명·친청”",한겨레,2026-01-19 22:34,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002787265&rankingType=RANKING
6,"李대통령 기자회견에 국힘 “‘어쩌라고요’식 남탓만, 국정 참사”",22,4,"이 대통령 “혹시 반명입니까”, 정청래 “친명이자 친청(와대)입니다”",경향신문,2026-01-19 21:38,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422550&rankingType=RANKING
6,"李대통령 기자회견에 국힘 “‘어쩌라고요’식 남탓만, 국정 참사”",22,5,李 대통령 “혹시 ‘반명’이십니까?” 농담에 정청래 “모두 친명이고 친청”,조선일보,2026-01-19 21:45,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953933&rankingType=RANKING
6,"李대통령 기자회견에 국힘 “‘어쩌라고요’식 남탓만, 국정 참사”",22,6,"조국, 李대통령 앞에서 “명성조동” 발언…무슨 뜻?",동아일보,2026-01-16 15:34,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003689996&rankingType=RANKING
6,"李대통령 기자회견에 국힘 “‘어쩌라고요’식 남탓만, 국정 참사”",22,7,"李대통령 ""혹시 반명입니까""…정청래 ""우리 모두 친명입니다""(종합)",연합뉴스,2026-01-19 23:50,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015855465&rankingType=RANKING
6,"李대통령 기자회견에 국힘 “‘어쩌라고요’식 남탓만, 국정 참사”",22,8,"블핑 응원봉' 쥐고 입국한 伊 총리…李대통령 ""문화의 힘 실감""",연합뉴스,2026-01-19 17:50,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015855328&rankingType=RANKING
6,"李대통령 기자회견에 국힘 “‘어쩌라고요’식 남탓만, 국정 참사”",22,9,"취임 1년도 안돼 ‘명청 프레임’… 불쾌한 李, 정청래 면전서 경고",동아일보,2026-01-21 4:33,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690993&rankingType=RANKING
6,"李대통령 기자회견에 국힘 “‘어쩌라고요’식 남탓만, 국정 참사”",22,10,李 “난 민주당 아닌 국민 대표… 파란색만 위하면 빨간색이 섭섭”,조선일보,2026-01-17 0:58,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953607&rankingType=RANKING
7,보수·진보 넘나들며 승승장구…‘처세 달인’ 한덕수의 몰락,21,1,"“초범인 점 고려? 내란 두 번 하는 죄인도 있나”…민주당·혁신당, 윤석열 징역 5년 선고 비판",경향신문,2026-01-16 17:17,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422055&rankingType=RANKING
7,보수·진보 넘나들며 승승장구…‘처세 달인’ 한덕수의 몰락,21,2,‘징역 23년’ 한덕수와 같은 ‘내란 가담 혐의’ 이상민·박성재 운명은?,경향신문,2026-01-21 15:16,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422941&rankingType=RANKING
7,보수·진보 넘나들며 승승장구…‘처세 달인’ 한덕수의 몰락,21,3,"“징역 5년에 처한다”…무표정 유지하던 尹, 입술 질끈 깨물어",동아일보,2026-01-16 16:46,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690023&rankingType=RANKING
7,보수·진보 넘나들며 승승장구…‘처세 달인’ 한덕수의 몰락,21,4,‘꿀 먹은’ 나경원…“윤 체포는 불법” 샤우팅 하더니 징역 5년엔 침묵,한겨레,2026-01-18 10:48,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002786996&rankingType=RANKING
7,보수·진보 넘나들며 승승장구…‘처세 달인’ 한덕수의 몰락,21,5,"추미애, 윤석열 ‘체포 방해’ 5년형에 “국민에 배은망덕···지귀연도 ‘초범 감경’할 수도”",경향신문,2026-01-19 8:13,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422330&rankingType=RANKING
7,보수·진보 넘나들며 승승장구…‘처세 달인’ 한덕수의 몰락,21,6,윤석열 1심 재판 7개 더 남았다…내란사건 외에도 명태균·채상병 사건 등 줄줄이,경향신문,2026-01-16 13:53,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422012&rankingType=RANKING
7,보수·진보 넘나들며 승승장구…‘처세 달인’ 한덕수의 몰락,21,7,"추미애 “빈민 청년 사형, 윤석열은 5년 ‘반값 세일’…균형추 기울어”",한겨레,2026-01-17 16:08,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002786969&rankingType=RANKING
7,보수·진보 넘나들며 승승장구…‘처세 달인’ 한덕수의 몰락,21,8,공수처 막아섰던 나경원 “사과? 이 대통령도 체포해야”···‘윤석열 수사 적법 판결’에도 사과 거부,경향신문,2026-01-20 8:15,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422573&rankingType=RANKING
7,보수·진보 넘나들며 승승장구…‘처세 달인’ 한덕수의 몰락,21,9,"李대통령 '통혁당 재심 무죄'에 ""警·檢·판사 어떤책임 지나요""",연합뉴스,2026-01-19 15:43,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015855019&rankingType=RANKING
7,보수·진보 넘나들며 승승장구…‘처세 달인’ 한덕수의 몰락,21,10,민주당 “국힘 45명 ‘윤석열 체포 방해’ 법치 파괴에 대한 동조 행위…장동혁이 집단적 불법 앞장”,경향신문,2026-01-18 16:10,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422216&rankingType=RANKING
8,민주당 공천헌금 의혹 ‘구조적 문제’ 57%…‘개인 일탈’ 30%,14,1,李대통령 지지율 59%…부동산 정책은 “부정적” 47%,동아일보,2026-01-22 11:36,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003691543&rankingType=RANKING
8,민주당 공천헌금 의혹 ‘구조적 문제’ 57%…‘개인 일탈’ 30%,14,2,李대통령 지지율 59%…민주 40%·국힘 20%[NBS],연합뉴스,2026-01-22 11:16,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015860993&rankingType=RANKING
8,민주당 공천헌금 의혹 ‘구조적 문제’ 57%…‘개인 일탈’ 30%,14,3,"정부 부동산정책 ""잘못하고 있다"" 47%…긍정 평가는 35%[NBS]",연합뉴스,2026-01-22 12:11,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015861250&rankingType=RANKING
8,민주당 공천헌금 의혹 ‘구조적 문제’ 57%…‘개인 일탈’ 30%,14,4,"이 대통령 지지율 53.1%, 3.7%P 하락…민주당 42.5%, 국힘 37.0%[리얼미터]",경향신문,2026-01-19 9:33,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422340&rankingType=RANKING
8,민주당 공천헌금 의혹 ‘구조적 문제’ 57%…‘개인 일탈’ 30%,14,5,李대통령 국정지지율 53.1%로 3.7%p↓…3주 만에 하락세[리얼미터](종합),연합뉴스,2026-01-19 9:03,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015853783&rankingType=RANKING
8,민주당 공천헌금 의혹 ‘구조적 문제’ 57%…‘개인 일탈’ 30%,14,6,李대통령 국정 지지율 53.1%…민주 42.5%·국힘 37.0%[리얼미터],연합뉴스,2026-01-19 8:31,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015853711&rankingType=RANKING
8,민주당 공천헌금 의혹 ‘구조적 문제’ 57%…‘개인 일탈’ 30%,14,7,李대통령 지지율 58%…'외교 호평' 증가에도 2%p 하락[한국갤럽](종합),연합뉴스,2026-01-16 11:08,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=001&aid=0015850984&rankingType=RANKING
8,민주당 공천헌금 의혹 ‘구조적 문제’ 57%…‘개인 일탈’ 30%,14,8,李대통령 지지율 53%로 떨어져… 공천헌금 등 여파 [리얼미터],조선일보,2026-01-19 9:11,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953823&rankingType=RANKING
8,민주당 공천헌금 의혹 ‘구조적 문제’ 57%…‘개인 일탈’ 30%,14,9,이 대통령 지지율 53%…“여권 공천헌금 의혹 영향” [리얼미터],한겨레,2026-01-19 8:34,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002787098&rankingType=RANKING
8,민주당 공천헌금 의혹 ‘구조적 문제’ 57%…‘개인 일탈’ 30%,14,10,"이 대통령 지지율 58%, 2%P↓…신규 원전 건설 찬성 54%[한국갤럽]",경향신문,2026-01-16 10:20,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003421972&rankingType=RANKING
9,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,14,1,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,한겨레,2026-01-20 19:52,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002787457&rankingType=RANKING
9,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,14,2,[속보]이 대통령 “대부 배신자 처단하듯 이혜훈 공격…이게 정치인가”[대통령 신년 기자회견],경향신문,2026-01-21 11:28,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422881&rankingType=RANKING
9,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,14,3,"李대통령 가덕도 피습 사건, 국가 공인 1호 테러로 지정",조선일보,2026-01-20 17:38,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003954153&rankingType=RANKING
9,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,14,4,"‘이재명 포퓰리즘’ 비판하던 이혜훈 “소비쿠폰, 경제회복 마중물”",경향신문,2026-01-18 11:31,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422170&rankingType=RANKING
9,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,14,5,"이원종, 유인촌, 이창동…파격? 보은? 정권마다 ‘스타 인사’ 논란",동아일보,2026-01-17 20:18,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690153&rankingType=RANKING
9,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,14,6,"“뼛속도 이재명” 배우 이원종, 콘텐츠진흥원장 거론",동아일보,2026-01-17 1:41,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690081&rankingType=RANKING
9,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,14,7,"[김순덕의 도발] ‘李부터 연임’ 개헌, 이 대통령은 가능성을 말했다",동아일보,2026-01-17 10:01,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=020&aid=0003690133&rankingType=RANKING
9,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,14,8,"李대통령 지지 ‘구마적’ 이원종, 연봉 2억 콘텐츠진흥원장 유력",조선일보,2026-01-16 16:27,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003953479&rankingType=RANKING
9,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,14,9,"[속보] 정부, 이 대통령 ‘가덕도 피습사건’ 국가공인 1호 테러 지정···“전면 재수사”",경향신문,2026-01-20 17:04,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422711&rankingType=RANKING
9,이 대통령 “국민 ‘원전 찬성’ 여론 압도적”…에너지 정책 전환 시사,14,10,[단독] 대통령 직속 국민통합위원이···이혜훈에 “광녀” 마차도에 “이것도 광녀” 막말 논란,경향신문,2026-01-19 11:26,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003422370&rankingType=RANKING
10,"조국, 정청래 합당 제안에 “국민 뜻 따라 결정”",13,1,"조국, 정청래 합당 제안에 “국민 뜻 따라 결정”",한겨레,2026-01-22 10:56,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=028&aid=0002787730&rankingType=RANKING
10,"조국, 정청래 합당 제안에 “국민 뜻 따라 결정”",13,2,"[속보]정청래, 조국혁신당에 “지방선거 같이 치르자” 합당 제안",경향신문,2026-01-22 9:55,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=032&aid=0003423132&rankingType=RANKING
10,"조국, 정청래 합당 제안에 “국민 뜻 따라 결정”",13,3,정청래 “당 합쳐 선거 치르자”... 조국 “당원들 의견 듣고 결정”,조선일보,2026-01-22 11:05,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003954535&rankingType=RANKING
10,"조국, 정청래 합당 제안에 “국민 뜻 따라 결정”",13,4,"[속보] 정청래, 조국혁신당에 전격 합당 제안… “지방선거 함께 치르자”",조선일보,2026-01-22 9:56,https://news.naver.com/main/ranking/read.naver?mode=LSD&mid=shm&sid1=001&oid=023&aid=0003954519&rankingType=RANKING
